"velocity:0","velocity:1","velocity:2"
0.021472,-0.27227,-0.021638
0.032704,-0.41406,-0.0092666
0.042597,-0.53839,-0.0041612
0.050747,-0.64031,-0.0016688
0.056818,-0.71588,-0.00051481
0.060563,-0.76232,-9.1981e-05
0.061829,-0.77799,-6.4626e-06
0.044487,-0.88224,5.3541e-06
0.043576,-0.86449,7.5616e-05
0.040881,-0.81185,0.00041768
0.036512,-0.72622,0.0013283
0.030649,-0.61073,0.0032315
0.02353,-0.4698,0.006992
0.015449,-0.309,0.015817
0.0067354,-0.13492,0.25073
-0.0022528,0.045152,0.26118
-0.011149,0.22318,0.028539
-0.01959,0.39149,0.010288
-0.027229,0.54312,0.0047852
-0.033754,0.67196,0.0021194
-0.038896,0.77299,0.00078003
-0.042447,0.84244,0.00019587
-0.044259,0.87779,2.1487e-05
-0.044259,0.87779,-2.1487e-05
-0.042447,0.84244,-0.00019587
-0.038896,0.77299,-0.00078003
-0.033754,0.67196,-0.0021194
-0.027229,0.54312,-0.0047852
-0.01959,0.39149,-0.010288
-0.011149,0.22318,-0.028539
-0.0022528,0.045152,-0.26118
0.0067354,-0.13492,-0.25073
0.015449,-0.309,-0.015817
0.02353,-0.4698,-0.006992
0.030649,-0.61073,-0.0032315
0.036512,-0.72622,-0.0013283
0.040881,-0.81185,-0.00041768
0.043576,-0.86449,-7.5616e-05
0.044487,-0.88224,-5.3541e-06
0.025321,-0.95047,3.3951e-06
0.024803,-0.93136,4.7672e-05
0.023269,-0.8747,0.00026078
0.020782,-0.7825,0.00081769
0.017444,-0.65815,0.0019532
0.013392,-0.50635,0.0041358
0.0087928,-0.3331,0.0091301
0.0038335,-0.14546,0.14309
-0.0012822,0.048685,0.14892
-0.0063456,0.2406,0.016249
-0.01115,0.42199,0.0060139
-0.015498,0.58533,0.0028623
-0.019212,0.72408,0.0012934
-0.022139,0.83287,0.00048385
-0.02416,0.90763,0.00012295
-0.025191,0.94569,1.3594e-05
-0.025191,0.94569,-1.3594e-05
-0.02416,0.90763,-0.00012295
-0.022139,0.83287,-0.00048385
-0.019212,0.72408,-0.0012934
-0.015498,0.58533,-0.0028623
-0.01115,0.42199,-0.0060139
-0.0063456,0.2406,-0.016249
-0.0012822,0.048685,-0.14892
0.0038335,-0.14546,-0.14309
0.0087928,-0.3331,-0.0091301
0.013392,-0.50635,-0.0041358
0.017444,-0.65815,-0.0019532
0.020782,-0.7825,-0.00081769
0.023269,-0.8747,-0.00026078
0.024803,-0.93136,-4.7672e-05
0.025321,-0.95047,-3.3951e-06
0.0051167,-0.98017,7.2037e-07
0.005012,-0.96047,1.0091e-05
0.004702,-0.90206,5.497e-05
0.0041994,-0.80702,0.00017132
0.003525,-0.6788,0.00040596
0.0027062,-0.52228,0.00085125
0.0017768,-0.3436,0.0018581
0.00077464,-0.15006,0.028951
-0.00025909,0.050225,0.030119
-0.0012823,0.2482,0.0032853
-0.002253,0.43528,0.0012311
-0.0031317,0.60372,0.00059212
-0.0038821,0.74678,0.00026996
-0.0044737,0.85894,0.00010171
-0.004882,0.93601,2.5977e-05
-0.0050905,0.97523,2.8818e-06
-0.0050905,0.97523,-2.8818e-06
-0.004882,0.93601,-2.5977e-05
-0.0044737,0.85894,-0.00010171
-0.0038821,0.74678,-0.00026996
-0.0031317,0.60372,-0.00059212
-0.002253,0.43528,-0.0012311
-0.0012823,0.2482,-0.0032853
-0.00025909,0.050225,-0.030119
0.00077464,-0.15006,-0.028951
0.0017768,-0.3436,-0.0018581
0.0027062,-0.52228,-0.00085125
0.003525,-0.6788,-0.00040596
0.0041994,-0.80702,-0.00017132
0.004702,-0.90206,-5.497e-05
0.005012,-0.96047,-1.0091e-05
0.0051167,-0.98017,-7.2037e-07
-0.015298,-0.97024,-2.1187e-06
-0.014984,-0.95074,-2.9702e-05
-0.014058,-0.89291,-0.00016202
-0.012555,-0.79882,-0.00050598
-0.010539,-0.67189,-0.0012022
-0.0080909,-0.51695,-0.0025291
-0.005312,-0.34009,-0.0055416
-0.002316,-0.14852,-0.086518
0.00077461,0.04971,-0.090021
0.0038336,0.24566,-0.00982
0.006736,0.43083,-0.0036644
0.0093628,0.59757,-0.0017562
0.011606,0.73919,-0.00079833
0.013375,0.85022,-0.00030006
0.014596,0.92652,-7.6509e-05
0.015219,0.96535,-8.4782e-06
0.015219,0.96535,8.4782e-06
0.014596,0.92652,7.6509e-05
0.013375,0.85022,0.00030006
0.011606,0.73919,0.00079833
0.0093628,0.59757,0.0017562
